Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Unknown,Chile,14/11/2022 04:21,,,42,2,,,"Unknown, Chile",,4.761904762
Valparaiso,Chile,14/11/2022 04:21,-33.0472,-71.6127,452685,6197,,,"Valparaiso, Chile",24928.93339,1.368943084
Anhui,China,14/11/2022 04:21,31.8257,117.2264,1556,6,,,"Anhui, China",2.460468058,0.385604113
Beijing,China,14/11/2022 04:21,40.1824,116.4142,5643,9,,,"Beijing, China",26.19777159,0.159489633
Chongqing,China,14/11/2022 04:21,30.0572,107.874,2360,6,,,"Chongqing, China",7.607994842,0.254237288
Fujian,China,14/11/2022 04:21,26.0789,117.9874,5435,1,,,"Fujian, China",13.79091601,0.018399264
Gansu,China,14/11/2022 04:21,35.7518,104.2861,1442,2,,,"Gansu, China",5.468335229,0.138696255
Guangdong,China,14/11/2022 04:21,23.3417,113.4244,17585,8,,,"Guangdong, China",15.49885422,0.045493318
Guangxi,China,14/11/2022 04:21,23.8298,108.7881,2350,2,,,"Guangxi, China",4.770604953,0.085106383
Guizhou,China,14/11/2022 04:21,26.8154,106.8748,988,2,,,"Guizhou, China",2.744444444,0.20242915
Hainan,China,14/11/2022 04:21,19.1959,109.7453,8984,6,,,"Hainan, China",96.18843683,0.066785396
Hebei,China,14/11/2022 04:21,37.8957,114.9042,2048,7,,,"Hebei, China",2.710428798,0.341796875
Heilongjiang,China,14/11/2022 04:21,47.862,127.7615,3615,13,,,"Heilongjiang, China",9.581235091,0.359612725
Henan,China,14/11/2022 04:21,33.882,113.614,4846,22,,,"Henan, China",5.045288912,0.453982666
Hong Kong,China,14/11/2022 04:21,22.3,114.2,1986204,10526,,,"Hong Kong, China",26493.35973,0.529955634
Hubei,China,14/11/2022 04:21,30.9756,112.2707,68446,4512,,,"Hubei, China",115.6768633,6.592057973
Hunan,China,14/11/2022 04:21,27.6104,111.7088,1843,4,,,"Hunan, China",2.671401652,0.217037439
Inner Mongolia,China,14/11/2022 04:21,44.0935,113.9448,5971,1,,,"Inner Mongolia, China",23.56353591,0.016747613
Jiangsu,China,14/11/2022 04:21,32.9711,119.455,2817,0,,,"Jiangsu, China",3.498944231,0
Jiangxi,China,14/11/2022 04:21,27.614,115.7221,1506,1,,,"Jiangxi, China",3.24010327,0.066401062
Jilin,China,14/11/2022 04:21,43.6661,126.1923,40329,5,,,"Jilin, China",149.1457101,0.012398026
Liaoning,China,14/11/2022 04:21,41.2956,122.6085,2078,2,,,"Liaoning, China",4.767148429,0.096246391
Macau,China,14/11/2022 04:21,22.1667,113.55,795,6,,,"Macau, China",122.4316308,0.754716981
Ningxia,China,14/11/2022 04:21,37.2692,106.1655,225,0,,,"Ningxia, China",3.270348837,0
Qinghai,China,14/11/2022 04:21,35.7452,95.9956,320,0,,,"Qinghai, China",5.306799337,0
Shaanxi,China,14/11/2022 04:21,35.1917,108.8701,4274,3,,,"Shaanxi, China",11.0610766,0.070191858
Shandong,China,14/11/2022 04:21,36.3427,118.1498,3276,7,,,"Shandong, China",3.260674828,0.213675214
Shanghai,China,14/11/2022 04:21,31.202,121.4491,64339,595,,,"Shanghai, China",265.4249175,0.924789008
Shanxi,China,14/11/2022 04:21,37.5777,112.2922,1877,0,,,"Shanxi, China",5.048413125,0
Sichuan,China,14/11/2022 04:21,30.6171,102.7103,6738,3,,,"Sichuan, China",8.078168085,0.044523598
Tianjin,China,14/11/2022 04:21,39.3054,117.323,2524,3,,,"Tianjin, China",16.17948718,0.118858954
Tibet,China,14/11/2022 04:21,31.6927,88.0924,1470,0,,,"Tibet, China",42.73255814,0
Unknown,China,14/11/2022 04:21,,,847765,0,,,"Unknown, China",,0
Xinjiang,China,14/11/2022 04:21,41.1129,85.2401,2150,3,,,"Xinjiang, China",8.64495376,0.139534884
Yunnan,China,14/11/2022 04:21,24.974,101.487,2866,2,,,"Yunnan, China",5.933747412,0.069783671
Zhejiang,China,14/11/2022 04:21,29.1832,120.0934,3659,1,,,"Zhejiang, China",6.377897856,0.027329872
Amazonas,Colombia,14/11/2022 04:21,-1.4429,-71.5724,7819,265,,,"Amazonas, Colombia",10209.03785,3.389180202
Antioquia,Colombia,14/11/2022 04:21,7.1986,-75.3412,943878,18509,,,"Antioquia, Colombia",14731.74612,1.960952581
Arauca,Colombia,14/11/2022 04:21,7.0762,-70.7105,17006,559,,,"Arauca, Colombia",6486.531845,3.28707515
Atlantico,Colombia,14/11/2022 04:21,10.6966,-74.8741,416346,10205,,,"Atlantico, Colombia",16420.55644,2.451086356
Bolivar,Colombia,14/11/2022 04:21,8.6704,-74.03,202885,3266,,,"Bolivar, Colombia",9800.68692,1.609778939
Boyaca,Colombia,14/11/2022 04:21,5.4545,-73.362,129320,2869,,,"Boyaca, Colombia",10622.84783,2.218527683
Caldas,Colombia,14/11/2022 04:21,5.2983,-75.2479,119332,2563,,,"Caldas, Colombia",11954.05983,2.147789361
Capital District,Colombia,14/11/2022 04:21,4.711,-74.0721,1855114,29845,,,"Capital District, Colombia",25026.61022,1.608796009
Caqueta,Colombia,14/11/2022 04:21,0.8699,-73.8419,25592,1041,,,"Caqueta, Colombia",6374.271773,4.067677399
Casanare,Colombia,14/11/2022 04:21,5.7589,-71.5724,42861,1025,,,"Casanare, Colombia",10192.76868,2.391451436
Cauca,Colombia,14/11/2022 04:21,2.705,-76.826,76181,1845,,,"Cauca, Colombia",5201.886256,2.421863719
Cesar,Colombia,14/11/2022 04:21,9.3373,-73.6536,108940,2685,,,"Cesar, Colombia",9073.99294,2.464659446
Choco,Colombia,14/11/2022 04:21,5.2528,-76.826,18832,429,,,"Choco, Colombia",3521.145195,2.278037383
Cordoba,Colombia,14/11/2022 04:21,8.0493,-75.574,122031,3951,,,"Cordoba, Colombia",6837.30179,3.237701895
